"ID","DE_F"
"AMPT_0001_I_0001_1","Dieser Test erfasst Ihre Fähigkeit zu unterscheiden, ob eine Gesangsstimme zu hoch oder zu tief im Verhältnis zur Hintergrundmusik klingt.<br/>Ihnen werden einige Musik-Auschnitte vorgespielt. In einigen Ausschnitten ist die Gesangsstimme genau richtig im Verhältnis zur Hintergrundmusik. In anderen Ausschnitten ist die Gesangsstimme jedoch etwas zu hoch oder zu tief im Verhältnis zur Hintergrundmusik. Entscheiden Sie, ob die Gesangsstimme richtig oder falsch (d.h. zu hoch oder zu tief) klingt. <br/><br/>Klicken Sie auf 'Weiter', um ein paar Beispiele zu hören."
"AMPT_0002_I_0001_1","**Beispiel - richtig**\\\\In diesem Beispiel ist die Gesangsstimme **richtig** im Verhältnis zur Hintergrundmusik."
"AMPT_0003_I_0001_1","**Beispiel - falsch**\\\\In diesem Beispiel ist die Gesangsstimme **falsch**, also zu hoch oder zu tief im Verhältnis zur Hintergrundmusik."
"AMPT_0004_I_0001_1","In diesem Test werden Ihnen zwei Versionen desselben Musik-Auschnittes vorgespielt. In einer Version ist die Gesangsstimme **richtig**, in der anderen Version **falsch** (zu hoch oder zu tief) im Verhältnis zur Hintergrundmusik. Ihre Aufgabe ist es zu entscheiden, welche Version **falsch** war. <br/><br/>Klicken Sie auf 'Weiter', um ein paar Beispiele zu beantworten."
"AMPT_0005_I_0001_1","**Beispiel Frage 1/2**\\\\In welcher Version klingt die Gesangstimme **falsch** (zu hoch oder zu tief)?"
"AMPT_0005_R_0001_1","Erste"
"AMPT_0005_R_0002_1","Zweite"
"AMPT_0006_I_0001_1","**Leider falsch.**"
"AMPT_0007_I_0001_1","**Richtig!**"
"AMPT_0008_I_0001_1","**Beispiel Frage 2/2**\\\\Welche Version war **falsch**?"
"AMPT_0009_I_0001_1","**Richtig!**"
"AMPT_0010_I_0001_1","Klicken Sie auf 'Zurück', um die Anweisungen zu lesen und die Beispiele noch einmal zu versuchen oder klicken Sie auf 'Weiter', um mit dem Haupttest fortzufahren."
"AMPT_0011_I_0001_1","**Nun beginnt der Haupttest, in dem Ihre Ergebnisse gespeichert werden.**\\Viel Erfolg!"
"AMPT_0012_I_0001_1","**Frage {{num_question}} von {{test_length}}**"
"AMPT_0013_I_0001_1","Welche Version war **falsch**?\\Wenn Sie sich nicht sicher sind, dann entscheiden Sie bitte aus dem Bauch heraus."
"AMPT_0014_I_0001_1","Sie haben den Wahrnehmungstest geschafft.\\Unten sehen Sie Ihr Endergebnis im Vergleich zu Anderen, die am Test teilgenommen haben."
"AMPT_0015_I_0001_1","Weiter"
"AMPT_0016_I_0001_1","Zurück"
"AMPT_0017_I_0001_1","Sie  haben den Wahrnehmungstest geschafft."
"enter_p_id","Bitte geben Sie Ihre Teilnehmer-ID ein."
"results_have_been_saved","Ihre Ergebnisse wurden gespeichert."
"you_may_close_browser","Sie können diesen Tab jetzt schließen."
"demo_intro","Willkommen zum **Gesangsverstimmungs-Test**!\\Dieser Test passt sich an Ihre Leistung an. Je mehr richtige Antworten Sie geben, desto schwieriger werden die nächsten Aufgaben.\\In echten Testanwendungen läuft dieser adaptiver Mechanismus unsichtbar im Hintergrund. Aber in dieser Demoanwendung werden Ihnen bei jedem Durchgang Deine geschätzte Testfähigkeit (""ability"") und die Schwierigkeit des Stimulus (""difficulty"") angezeigt."
click_here_to_play,"Klicken Sie hier, um die Musik abzuspielen"
