"ID","DE","EN","FR"
"AMPT_0001_I_0001_1","Dieser Test erfasst deine Fähigkeit zu unterscheiden, ob eine Gesangsstimme zu hoch oder zu tief im Verhältnis zur Hintergrundmusik klingt.\\Dir werden einige Musik-Auschnitte vorgespielt.\\In einigen Ausschnitten ist die Gesangsstimme genau richtig im Verhältnis zur Hintergrundmusik. In anderen Ausschnitten ist die Gesangsstimme jedoch etwas zu hoch oder zu tief im Verhältnis zur Hintergrundmusik.\\Entscheide, ob die Gesangsstimme richtig oder falsch (d.h. zu hoch oder zu tief) klingt.\\Klicke auf 'Weiter', um ein paar Beispiele zu hören.","This test assesses your ability to perceive mistuning in pieces of music.\\You will be played some music clips.\\In some clips, the vocalist will be **in tune** with the background music, but in other clips the vocalist will be **out of tune**.\\Your task is to decide whether the vocalist is in tune or out of tune.\\Click 'Continue' to hear some examples.","Ce test évalue votre capacité à percevoir la justesse mélodique.\\Vous allez entendre des extraits musicaux. Dans certains extraits, le chanteur chante **juste** par rapport à l'accompagnement musical, et dans certains extraits, le chanteur chante **faux**.\\Votre tâche est de décider si le chanteur est juste ou faux.\\Cliquez sur 'Suivant' pour écouter quelques exemples."
"AMPT_0002_I_0001_1","**Beispiel - richtig**\\\\In diesem Beispiel ist die Gesangsstimme **richtig** im Verhältnis zur Hintergrundmusik.","**Example - in tune**\\\\In this example the vocalist is in tune with the background music.","**Exemple - Juste**\\\\Dans cet exemple, le chanteur chante juste par rapport à l'accompagnement musical."
"AMPT_0003_I_0001_1","**Beispiel - falsch**\\\\In diesem Beispiel ist die Gesangsstimme **falsch**, also zu hoch oder zu tief im Verhältnis zur Hintergrundmusik.","**Example - out of tune**\\\\In this example the vocalist is out of tune with the background music.","**Exemple - Faux**\\\\Dans cet exemple, le chanteur chante faux par rapport à l'accompagnement musical."
"AMPT_0004_I_0001_1","In diesem Test werden dir zwei Versionen desselben Musik-Auschnittes vorgespielt.\\In einer Version ist die Gesangsstimme **richtig**, in der anderen Version **falsch** (zu hoch oder zu tief) im Verhältnis zur Hintergrundmusik.\\Deine Aufgabe ist es zu entscheiden, welche Version **falsch** war.","In the test you will be played two versions of the same music clip, one after the other.\\In one version the vocalist will be **in tune**, and in the other version the vocalist will be **out of tune**.\\Your task is to identify which version was **out of tune**.","Dans le test, vous entendrez successivement deux versions du même extrait musical.\\Dans une version le chanteur chante **juste** et dans l'autre il chante **faux**.\\ Votre tâche consiste à décider dans quelle version le chanteur chante **faux**."
"AMPT_0005_I_0001_1","**Beispiel Frage 1/2**\\\\In welcher Version klingt die Gesangstimme **falsch** (zu hoch oder zu tief)?","**Example question 1/2**\\\\Which version was **out of tune**?","**Exemple question 1/2**\\\\Dans quelle version le chanteur chante-t-il **faux** (trop haut ou trop bas)?"
"AMPT_0005_R_0001_1","Erste","First","Première"
"AMPT_0005_R_0002_1","Zweite","Second","Seconde"
"AMPT_0006_I_0001_1","**Leider falsch.**","**Incorrect!**","**Incorrect!**"
"AMPT_0007_I_0001_1","**Richtig!**","**Correct!**","**Correct!**"
"AMPT_0008_I_0001_1","**Beispiel Frage 2/2**\\\\Welche Version war **falsch**?","**Example question 2/2**\\\\Which version was **out of tune**?","**Exemple question 1/2**\\\\Dans quelle version le chanteur chante-t-il **faux** (trop haut ou trop bas)?"
"AMPT_0009_I_0001_1","**Richtig!**","**Correct!**","**Correct!**"
"AMPT_0010_I_0001_1","Klicke auf 'Zurück', um die Anweisungen zu lesen und die Beispiele noch einmal zu versuchen oder klicke auf 'Weiter', um mit dem Haupttest fortzufahren.","Press 'Go back' to read the instructions and try the examples again, or press 'Continue' to continue to the main test.","Cliquez sur 'Précédent' pour retourner aux instructions et faire un nouvel essai ou cliquez sur 'Suivant' pour accéder au test."
"AMPT_0011_I_0001_1","**Nun beginnt der Haupttest, in dem deine Ergebnisse gespeichert werden.**\\Viel Erfolg!
","**You are about to start the main test, where your results will be recorded.**\\Good luck!","**Le test va maintenant commencer et vos réponses vont être enregistrées.\\Bonne chance!**"
"AMPT_0012_I_0001_1","**Frage {{num_question}} von {{test_length}}**","**Question {{num_question}} out of {{test_length}}**","Question **{{num_question}}** de **{{test_length}}**"
"AMPT_0013_I_0001_1","Welche Version war **falsch**?\\Wenn du nicht sicher bist, dann entscheide aus dem Bauch heraus.","Which version was **out of tune**?\\If you don't know, give your best guess!","Dans quelle version le chanteur est **faux**?\\Si vous ne savez pas, suivez votre intuition et faites au mieux!"
"AMPT_0014_I_0001_1","Du hast den Wahrnehmungstest geschafft.\\Unten siehst du dein Endergebnis im Vergleich zu Anderen, die am Test teilgenommen haben.","You completed the tuning perception test!\\Your final score is plotted below, with reference to the general population:","Vous avez terminé le test de perception de la justesse!\\Vous pouvez voir votre score ainsi que sa place par rapport aux précédents participants:"
"AMPT_0015_I_0001_1","Weiter","Continue","Suivant"
"AMPT_0016_I_0001_1","Zurück","Go back","Précédent"
